a,ka,hgg,callret-3,callret-4
http://le-online.de/place/1168,http://le-online.de/place/naturkindertagesstaette-sonnenschein,http://le-online.de/place/naturkindertagesstaettesonnenschein,"Adresse(Diezmannstr. 87 a,04207,Leipzig)",Point(12.3171773 51.3157149)
http://le-online.de/place/1172,http://le-online.de/place/raxlifaxli---kinderkrippe-und-kindergarten,http://le-online.de/place/raxlifaxlikinderkrippeundkindergarten,"Adresse(Königsteinstr. 70,04207,Leipzig)",Point(12.2644651 51.3054459)
http://le-online.de/place/1173,http://le-online.de/place/regenbogen---kindergarten-und-hort,http://le-online.de/place/regenbogenkindergartenundhort,"Adresse(Kantor-Andrä-Str. 16 ,04178,Leipzig Böhlitz-Ehrenberg)",Point(12.2882268 51.3546032)
http://le-online.de/place/1178,http://le-online.de/place/spielhaus-an-der-linde,http://le-online.de/place/spielhausanderlinde,"Adresse(Roßmarktstr. 6,04177,Leipzig)",Point(12.3353134 51.3395489)
http://le-online.de/place/1179,http://le-online.de/place/spielhaus-thekla,http://le-online.de/place/spielhausthekla,"Adresse(Stollberger Str. 8,04349,Leipzig)",Point(12.4336116 51.3785676)
http://le-online.de/place/1180,http://le-online.de/place/st.-martin---christliche-integrations-kindertagesstaette,http://le-online.de/place/stmartinchristlicheintegrationskindertagesstaette,"Adresse(Am Kirschberg 37,04209,Leipzig)",Point(12.2820472 51.3185624)
http://le-online.de/place/1181,http://le-online.de/place/theodor-neubauer-strasse,http://le-online.de/place/theodorneubauerstrasse,"Adresse(Theodor-Neubauer-Str. 18,04318,Leipzig)",Point(12.4135 51.33533)
http://le-online.de/place/1182,http://le-online.de/place/villa-kunterbunt,http://le-online.de/place/villakunterbunt,"Adresse(Oststr. 185,04317,Leipzig)",Point(12.42175 51.32342)
http://le-online.de/place/1183,http://le-online.de/place/waldorf-kindergarten,http://le-online.de/place/waldorfkindergarten,"Adresse(Jörgen-Schmidtchen-Weg 6,04157,Leipzig)",Point(12.361111 51.3798985)
http://le-online.de/place/1184,http://le-online.de/place/wolkser-kinderland,http://le-online.de/place/wolkserkinderland,"Adresse(Güldengossaer Str. 6-8,04288,Leipzig)",Point(12.459114 51.2822459)
